id,name,price,rating_average,category,solds,cluster
168,Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,2400000,1,Điện thoại Smartphone,1,119
169,Điện thoại Mobell M239 - Hàng chính hãng,404100,1,Điện thoại phổ thông,1,29
170,Điện Thoại Masstel Lux 10 4G - Hàng Chính Hãng,675000,1,Điện Thoại - Máy Tính Bảng,1,148
171,Điện thoại để bàn tân cổ điển phím quay DT11,3500000,1,Điện Thoại - Máy Tính Bảng,1,94
172,Điện thoại Xiaomi 13T 12GB-256GB - Hàng Chính Hãng,12990000,1,Điện thoại Smartphone,1,56
173,Điện thoại Xiaomi Redmi 12 (4GB-128GB) - Hàng Chính Hãng,3890000,1,Điện thoại Smartphone,1,3
174,Máy tính bảng Samsung Galaxy Tab A8 (4GB/64GB) - Hàng Chính Hãng,5856000,1,Điện Thoại - Máy Tính Bảng,1,22
175,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,17990000,1,Điện thoại Smartphone,1,60
176,Điện Thoại Samsung Galaxy A05 (4GB/64GB) - Hàng Chính Hãng,2587000,1,Điện thoại Smartphone,1,114
177,Điện Thoại OPPO A57 (4GB/64GB) - Hàng Chính Hãng ,4284000,1,Điện thoại Smartphone,1,125
178,Samsung Galaxy A04e 3G/32G - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,2090000,1,Điện thoại Smartphone,1,142
179,Điện thoại Oppo A38 - Hàng chính hãng,4429000,1,Điện Thoại - Máy Tính Bảng,1,22
180,"Điện thoại Masstel izi 16 4G(LTE) , Bàn phím nổi, FM không dây - Hàng chính hãng",429000,1,Điện Thoại - Máy Tính Bảng,1,148
181,"Điện Thoại Samsung A05s 4GB/128GB , Snapdragon 680 , Sạc nhanh 25W - Hàng Chính Hãng",3269000,1,Điện thoại Smartphone,1,144
182,Điện Thoại Oppo A57 4GB/64GB - Hàng Chính Hãng,4632000,1,Điện thoại Smartphone,1,118
183,Máy đọc sách All new Paperwhite Gen 5 (11th) màn hình 6.8 inch có đèn vàng warmlight,4500000,1,Máy đọc sách,1,84
184,Điện Thoại Masstel iZi 26 4G - Hàng Chính Hãng,589000,1,Điện thoại phổ thông,1,29
185,Máy tính bảng Samsung Galaxy Tab A9+ Wi-Fi 4GB/64GB - Hàng chính hãng,5989500,1,Máy tính bảng,1,17
